model,MSE_lg_mean,MAE_lg_mean,R2_mean,R2优于6特征基准的次数
6特征_论文参数,0.21479351364503105,0.3464411119889321,0.5867822782656279,0
6+rg_论文参数,0.22635921121612584,0.3582996841332752,0.5646767336781227,47
6+rg_优化参数,0.20769327709564742,0.34078235469641643,0.6007542565213659,149
