model_row,Old_index_1,smiles,rg,asphericity,eccentricity,num_chiral_centers,num_cis_trans,rg_mw_ratio,molecular_weight,rigid_bond_ratio,rigid_bond_method
665,776,CCCCCCC1(CCCCCC)c2ccccc2-c2ccc(C(=C(c3ccc4c(c3)C(CCCCCC)(CCCCCC)c3ccccc3-4)c3ccc4c(c3)C(CCCCCC)(CCCCCC)c3ccccc3-4)c3ccc4c(c3)C(CCCCCC)(CCCCCC)c3ccccc3-4)cc21,8.687421793546086,0.10600114645366261,0.7909045775672267,0,0,0.006396379409433883,1358.177999999999,0.5398230088495575,rdkit_fallback_after_AssertionError
666,778,CCCCN1C(=O)/C(=C/c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)N=C1C,7.158327019532818,0.23657120955538347,0.866728638039104,0,1,0.014740259620025937,485.63100000000014,0.17073170731707318,colleague_axial_method
667,779,CCCCCCn1c2ccc(/C=C/c3ccc(N(c4ccc(CCCC)cc4)c4ccc(CCCC)cc4)cc3)cc2c2ccc(/C=C/c3ccc(N(c4ccc(CCCC)cc4)c4ccc(CCCC)cc4)cc3)cc21,6.510429863484007,0.7372280268446896,0.9952540051097253,0,2,0.006417384209825746,1014.4989999999997,0.6235294117647059,rdkit_fallback_after_AssertionError
668,780,CCCCCCCCCCCC(CCCCCCCCCCC)N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCCCCCCC)CCCCCCCCCCC)C5=O,11.28146722798017,0.6548599633895799,0.9911807085975074,0,0,0.010893695251797212,1035.5959999999986,0.14634146341463414,colleague_axial_method
669,781,CCCCCCCCCCCC(CCCCCCCCCCC)N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(c1ccc(-n2c3ccc(/C=C/c4ccc(N(c6ccc(CCCC)cc6)c6ccc(CCCC)cc6)cc4)cc3c3ccc(/C=C/c4ccc(N(c6ccc(CCCC)cc6)c6ccc(CCCC)cc6)cc4)cc32)cc1)C5=O,10.350182278309243,0.3730717071812165,0.957629355596229,0,2,0.006026678955620694,1717.3939999999993,0.6506849315068494,rdkit_fallback_after_AssertionError
670,782,CCCCCCCCCCCC(CCCCCCCCCCC)N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCn1c2ccc(/C=C/c3ccc(N(c4ccc(CCCC)cc4)c4ccc(CCCC)cc4)cc3)cc2c2ccc(/C=C/c3ccc(N(c4ccc(CCCC)cc4)c4ccc(CCCC)cc4)cc3)cc21)C5=O,12.818496273270874,0.20140283328394956,0.8631916327313031,0,2,0.007429039868412261,1725.457999999999,0.6137931034482759,rdkit_fallback_after_AssertionError
671,783,CCN(CC)CCCOc1cc(C#Cc2ccc(C(=O)OC)cc2)c(OCCN(CC)CC)cc1C#Cc1ccc(C(=O)OC)cc1,11.50595542275839,0.6796712638227582,0.9924471723717136,0,0,0.0180116865440289,638.8050000000004,0.08163265306122448,colleague_axial_method
672,784,CC[NH+](CC)CCCOc1cc(C#Cc2ccc(C(=O)[O-])cc2)c(OCC[NH+](CC)CC)cc1C#Cc1ccc(C(=O)[O-])cc1,7.03248988738565,0.3629928524974816,0.9536085276177887,0,0,0.011514495903216933,610.7510000000004,0.0851063829787234,colleague_axial_method
673,785,CC(C)c1cccc(C(C)C)c1N1C(=O)c2cc(Oc3ccc(C#Cc4ccccc4)cc3)c3c4c(Oc5ccc(C#Cc6ccccc6)cc5)cc5c6c(cc(Oc7ccc(C#Cc8ccccc8)cc7)c(c7c(Oc8ccc(C#Cc9ccccc9)cc8)cc(c2c37)C1=O)c64)C(=O)N(c1c(C(C)C)cccc1C(C)C)C5=O,6.314338513512222,0.6957006008285361,0.9934195058684592,0,0,0.004267188816369493,1479.741999999999,0.7692307692307693,rdkit_fallback_after_AssertionError
674,786,CCCCN1/C(=C/C2=C([O-])/C(=C\C3=[N+](CCCC)c4ccccc4C3(C)C)C2=O)C(C)(C)c2ccccc21,8.038780910753244,0.11640254188753554,0.8398360459973642,0,2,0.01580241025416103,508.70600000000024,0.40476190476190477,colleague_axial_method
