样本索引,基线值,Conju-Max-Distance_SHAP,Wavelength_SHAP,ET(30)_SHAP,PEOE-Charge_SHAP,Atomic-LogP_SHAP,Atomic-MR_SHAP,rg_SHAP,SHAP总和,重建预测值,模型预测值,误差
34,5.997935,-0.258723,0.738435,0.32756016,0.73639226,0.31314614,0.5665947,0.4980638,2.921469,8.919404,8.919397,6.67572e-06
35,5.997935,0.012406134,0.7897669,0.405511,0.8159785,0.28634593,0.14545505,0.47173637,2.9272,8.925135,8.925138,3.8146973e-06
36,5.997935,-0.22032763,0.49769863,0.20926324,0.7569648,0.23058324,0.35403806,0.08993621,1.9181566,7.9160914,7.9160953,3.8146973e-06
37,5.997935,0.03457953,0.012875197,-0.028121313,0.07102326,-0.20772403,-0.035710886,-0.15081093,-0.30388916,5.6940455,5.694041,4.7683716e-06
38,5.997935,0.07146704,-0.08002752,-0.012338047,0.06044938,-0.21041057,-0.1459488,0.1268932,-0.18991531,5.8080196,5.8080206,9.536743e-07
39,5.997935,0.08632016,-0.024497649,-0.031961184,0.066306524,-0.20731999,-0.16422005,0.26379812,-0.0115740895,5.9863605,5.986361,4.7683716e-07
40,5.997935,-0.18122911,-0.3076344,-0.11718212,-0.06943788,-0.23290184,-0.21824138,-0.040781107,-1.1674079,4.830527,4.830526,9.536743e-07
41,5.997935,-0.18440792,-0.2939746,-0.10931703,-0.058786884,-0.26662078,-0.23596531,-0.10716832,-1.2562407,4.741694,4.741691,2.861023e-06
42,5.997935,0.18336608,-0.023278862,0.048689533,0.23715322,0.16165273,0.1655385,0.31813905,1.0912602,7.0891953,7.089195,4.7683716e-07
43,5.997935,0.16472119,-0.040391985,0.022662591,0.15195636,0.048759475,0.23535116,0.07115122,0.65421,6.652145,6.652147,1.9073486e-06
44,5.997935,0.79353416,0.43362147,0.02920456,0.2672237,0.169669,0.23136644,0.36519688,2.2898164,8.287751,8.287758,6.67572e-06
45,5.997935,0.31550023,1.3203864,0.030013014,0.059005197,1.8628002,0.21479908,0.089568205,3.8920724,9.890007,9.890005,1.9073486e-06
