model,seed,n_features,MSE_ln,MAE_ln,MSE_lg,MAE_lg,R2
M0_原始6特征,0,6,0.953497126227169,0.7339986028388239,0.17984071107340335,0.3187715429375977,0.6665313404076074
M0_原始6特征,1,6,1.0053496423640196,0.7584939354037831,0.18962070213629684,0.3294097307029445,0.6597526286711004
M0_原始6特征,2,6,1.154590926252264,0.7858902718281351,0.21776935395465064,0.3413078084364056,0.5610923727296289
M0_原始6特征,3,6,1.0114001874396514,0.7387498581206402,0.19076190571085702,0.3208349868886042,0.6035368328755484
M0_原始6特征,4,6,1.1846772618813959,0.8072249218343934,0.2234439887745222,0.3505733292074608,0.6189012581311927
M0_原始6特征,5,6,1.252775028708121,0.8472688756558008,0.236288024138412,0.36796419738568664,0.501366982396219
M0_原始6特征,6,6,1.1202089193549902,0.7745957236613831,0.21128450528709083,0.33640264849199475,0.6725240962846135
M0_原始6特征,7,6,1.2539685713067148,0.813555490946208,0.23651314023338843,0.3533226604400291,0.5561164792725999
M0_原始6特征,8,6,0.8079955489665648,0.6836730377226448,0.15239741166841433,0.29691542770897833,0.6267108371249007
M0_原始6特征,9,6,0.8810648376812762,0.7199876511439542,0.16617913421232763,0.3126866639303028,0.6869517560641694
M0_原始6特征,10,6,1.4372525545322028,0.9021618859025969,0.2710826433445959,0.3918039288309289,0.45331912617078784
M0_原始6特征,11,6,1.2804704825461046,0.9151372165006744,0.2415117106863009,0.39743904331054436,0.5249620082996675
M0_原始6特征,12,6,1.011178875516227,0.7448799475121599,0.19072016369341105,0.3234972508849149,0.6267867371808304
M0_原始6特征,13,6,1.2535021052702955,0.8213075808523855,0.2364251592826611,0.35668935030949983,0.5630137777588031
M0_原始6特征,14,6,1.0407562748601484,0.7682696245330372,0.19629880717685824,0.33365525854858114,0.6244511716526013
M0_原始6特征,15,6,0.8987487767186446,0.6797992714895748,0.1695145319640156,0.29523307240977287,0.6854812216160605
M0_原始6特征,16,6,1.229910300615353,0.8416656377072506,0.2319754689711259,0.3655307420638404,0.5565095498289452
M0_原始6特征,17,6,1.1230697105270306,0.785839402074195,0.2118240839648452,0.3412857159829737,0.6399766953147119
M0_原始6特征,18,6,0.9921662486686269,0.7599707678161074,0.18713415987903662,0.3300511108703128,0.6270635907222006
M0_原始6特征,19,6,1.2248381713621141,0.8151421554451297,0.23101880606521027,0.3540117400765425,0.5860627332809036
M0_原始6特征,20,6,1.0042605668624303,0.7324806525870133,0.1894152897577683,0.3181123055194327,0.6454866369400372
M0_原始6特征,21,6,1.3149674065437325,0.8442555314255318,0.24801823406317416,0.3666555186144058,0.5339543544337736
M0_原始6特征,22,6,1.152418765770824,0.7922324040465136,0.2173596590800647,0.34406216146234825,0.564078584041501
M0_原始6特征,23,6,1.0732913862709121,0.751032917278387,0.20243530975250432,0.3261694517017048,0.609959251184601
M0_原始6特征,24,6,1.19264156093235,0.8147126092943764,0.22494614873403063,0.3538251905535476,0.5826199023218082
M0_原始6特征,25,6,1.4682706752603096,0.8854064844643097,0.27693302373323525,0.38452715044420693,0.49329370508616077
M0_原始6特征,26,6,1.0639820009484608,0.782591975364251,0.20067945078870178,0.33987537648245975,0.6687265738285483
M0_原始6特征,27,6,0.9533176325225082,0.7186543298601771,0.1798068564611644,0.3121076098541542,0.560649980855711
M0_原始6特征,28,6,1.519787267792668,0.8357533375795612,0.2866496556750192,0.36296306274302903,0.5256955252811617
M0_原始6特征,29,6,1.186682334972966,0.7702362687141504,0.22382216901295557,0.33450936126430575,0.5847332830561692
M0_原始6特征,30,6,1.0734785937478202,0.7635569951016288,0.20247061927241722,0.33160858959126566,0.6345432844451322
M0_原始6特征,31,6,1.1513039486217929,0.8194930204576649,0.21714939152572826,0.3559012967429925,0.5951434658285256
M0_原始6特征,32,6,0.974622860853636,0.7789402892583841,0.18382527173191832,0.338289469357039,0.6791612303645052
M0_原始6特征,33,6,1.1183712745141041,0.7817208832077551,0.21093790397514667,0.3394970659656644,0.6057905071314156
M0_原始6特征,34,6,1.4217653651152045,0.903695141546031,0.26816157826671555,0.3924698132962193,0.443422480989224
M0_原始6特征,35,6,0.9841434942149653,0.7736455676520183,0.185620974546824,0.33599000098018045,0.6038040585490092
M0_原始6特征,36,6,1.1165384277762818,0.8226347333107501,0.21059220764156378,0.3572657252988119,0.5765555509982512
M0_原始6特征,37,6,1.3114682258142776,0.8531661658249742,0.24735824764764133,0.37052535796434094,0.5858845262250381
M0_原始6特征,38,6,0.7860121206600752,0.6889014246496125,0.14825107994939418,0.29918608730061547,0.6930298438439482
M0_原始6特征,39,6,1.153959028644378,0.8232004134929256,0.2176501706744897,0.35751139708045276,0.6246677143725552
M0_原始6特征,40,6,1.0904494239631166,0.802791195845292,0.20567151635902023,0.34864778647612304,0.6379461467379958
M0_原始6特征,41,6,0.8963025595990686,0.7505933576969528,0.1690531468018335,0.3259785534010203,0.6143238464079189
M0_原始6特征,42,6,1.1551015699114855,0.8098263229438887,0.21786566732178464,0.3517031033545316,0.5092881971086368
M0_原始6特征,43,6,1.2628265465640542,0.7936570028577323,0.2381838579787621,0.3446808568649865,0.5817005262052533
M0_原始6特征,44,6,1.6942363776270983,0.9454323414963417,0.3195527983230565,0.41059604892473195,0.43210237921608863
M0_原始6特征,45,6,1.1206467048459314,0.8017219775637845,0.21136707675146432,0.34818343087651427,0.5882965084397713
M0_原始6特征,46,6,1.1063784911661105,0.7891433923092166,0.20867592475598898,0.3427206207103058,0.6084343965087405
M0_原始6特征,47,6,1.2262404749939286,0.8191441800823139,0.23128329693293237,0.3557497972929125,0.5588097856905523
M0_原始6特征,48,6,0.9464409774453485,0.7724515149735689,0.17850983887729777,0.33547143049082806,0.4921819421896775
M0_原始6特征,49,6,1.3905529728548525,0.8839192993056098,0.2622745559946984,0.38388127413621514,0.4605192046349159
M0_原始6特征,50,6,1.119529457782784,0.7767182518139046,0.21115635088690282,0.33732445075631917,0.5941105344230662
M0_原始6特征,51,6,1.1957632860743286,0.8063308567565445,0.22553494261066304,0.3501850416776886,0.5840276874661562
M0_原始6特征,52,6,1.3761142007216223,0.8161335307044926,0.25955123467988583,0.35444228888117923,0.49090167006854557
M0_原始6特征,53,6,0.8589997080811844,0.6949973561331987,0.16201739267367313,0.3018335167059973,0.6824927351416196
M0_原始6特征,54,6,1.2160798299936204,0.8625338286626796,0.22936688043669165,0.3745936822430866,0.6562070365162538
M0_原始6特征,55,6,1.2366551139766533,0.7978974515322357,0.23324761966522736,0.34652246032511724,0.5888240366703607
M0_原始6特征,56,6,1.1256655591636529,0.7861179729884548,0.2123136913813838,0.34140669779385546,0.5994529155725099
M0_原始6特征,57,6,0.9819010032939399,0.7478332098619528,0.1851980145286763,0.32477983642704256,0.5773907094372105
M0_原始6特征,58,6,0.904282579456001,0.7287537771783523,0.17055827188923592,0.3164937440947103,0.6423879663714788
M0_原始6特征,59,6,1.255247990481029,0.870086690309053,0.23675445365504502,0.37787384837868526,0.563361871896809
M0_原始6特征,60,6,0.9421122883165216,0.7184522824793671,0.177693397474874,0.3120198617915854,0.6799940356031144
M0_原始6特征,61,6,1.2525118919227107,0.8412311183747119,0.2362383934627696,0.3653420327154386,0.563999355578253
M0_原始6特征,62,6,0.9593067576678004,0.7713520946137495,0.18093647551843287,0.3349939582952664,0.6421249503587454
M0_原始6特征,63,6,1.133423810738067,0.7846036214078159,0.21377698837667708,0.3407490232587225,0.6102558547692825
M0_原始6特征,64,6,0.9445351308179112,0.7281410062657232,0.17815037391065294,0.3162276210686847,0.5815322573940479
M0_原始6特征,65,6,0.8513547987352659,0.7146780851846992,0.1605754733484395,0.310380748732897,0.6607704190334521
M0_原始6特征,66,6,0.9727076369265879,0.7522413186068486,0.18346403809688053,0.32669425373058025,0.675100326115585
M0_原始6特征,67,6,0.9106075539778229,0.7406313496142559,0.17175123606735196,0.3216521082620294,0.6055635501678724
M0_原始6特征,68,6,1.3044719051502263,0.8517636185569135,0.2460386597343572,0.36991623942521373,0.583166191431649
M0_原始6特征,69,6,1.344552041333302,0.8484708665797482,0.25359824223630373,0.3684862154112548,0.5094903502900063
M0_原始6特征,70,6,1.2607620137641797,0.8735992915413837,0.23779446294384163,0.3793993517110131,0.5412911444411719
M0_原始6特征,71,6,1.2713091700949795,0.8192148893791056,0.23978377999804057,0.3557805059503284,0.4688289916618047
M0_原始6特征,72,6,1.3531239175073644,0.856143323956336,0.25521499834806705,0.3718183213125448,0.44161567950862546
M0_原始6特征,73,6,1.0211396688716312,0.758297635979949,0.19259888583175583,0.32932447894637257,0.6604849988188375
M0_原始6特征,74,6,1.2012789031393456,0.8146633689162822,0.22657525250536212,0.35380380572905445,0.5835510570754578
M0_原始6特征,75,6,1.3676295981844897,0.8741772412516908,0.25795093939688823,0.379650352081017,0.49776332096972753
M0_原始6特征,76,6,1.1476171554801389,0.8024301438510761,0.21645401921475013,0.3484909835873549,0.5398429436115046
M0_原始6特征,77,6,1.3595564559943676,0.871727099564414,0.2564282503481932,0.37858626906635157,0.43557443755062974
M0_原始6特征,78,6,1.1973165178732024,0.8454746302840566,0.22582790029610103,0.3671849665215577,0.5936485858557586
M0_原始6特征,79,6,1.0123535944419437,0.7825787417197313,0.19094172942350213,0.3398696291836694,0.5568705627660926
M0_原始6特征,80,6,1.1221071825050664,0.8016504474220405,0.2116425399212013,0.34815236573066505,0.631190015865061
M0_原始6特征,81,6,1.0615084084456536,0.7866040475409779,0.2002129023090321,0.34161779728980984,0.6221708034499858
M0_原始6特征,82,6,0.9799157978070517,0.7369718567735156,0.18482358155287754,0.32006281071473147,0.5890985535910409
M0_原始6特征,83,6,0.8568035695822362,0.6804481684781623,0.16160317526451398,0.29551488479124005,0.6993501283984418
M0_原始6特征,84,6,1.0985555079825207,0.7866302178630982,0.20720041862203875,0.3416291629162963,0.5604921297121064
M0_原始6特征,85,6,1.212330540239365,0.806264772962479,0.22865972053355327,0.35015634185058275,0.5080221382583212
M0_原始6特征,86,6,1.0339027383974875,0.7531539127268958,0.1950061500341048,0.32709058832113413,0.6264516521152566
M0_原始6特征,87,6,1.1247826622966082,0.788482512218265,0.21214716670500428,0.3424336041336058,0.5400645931359986
M0_原始6特征,88,6,1.2285997870898444,0.8509216196976692,0.23172829079112306,0.3695505639668751,0.5643804988934953
M0_原始6特征,89,6,1.1939558247202635,0.8045607270977271,0.2251940342573899,0.34941628413461095,0.5767816686309712
M0_原始6特征,90,6,1.2913556817958167,0.8433017721554327,0.24356478658909866,0.3662413062263377,0.5483385438974688
M0_原始6特征,91,6,0.9714250781692304,0.7953018527969922,0.1832221325131382,0.34539520611716595,0.5784157207775151
M0_原始6特征,92,6,1.2670074290538293,0.8604390122326189,0.23897242132016475,0.37368391502691095,0.5360963298509319
M0_原始6特征,93,6,1.2741375504718184,0.8995855223548854,0.2403172456207105,0.3906850283587811,0.5692681892818499
M0_原始6特征,94,6,1.1142549865618463,0.7802734037268133,0.21016152391908285,0.3388684336144232,0.6112804737627864
M0_原始6特征,95,6,1.16001995571995,0.8122745531858849,0.21879333241567694,0.3527663562390592,0.6174786778858001
M0_原始6特征,96,6,1.4753787318718063,0.8910609384945112,0.2782736863531843,0.38698284862769905,0.5721849461748809
M0_原始6特征,97,6,0.825464422054148,0.7009645407887974,0.15569224546634394,0.30442503207442156,0.6986154701356339
M0_原始6特征,98,6,1.3302349321839784,0.8374616367223284,0.2508978679833493,0.36370496763417287,0.6468814151211209
M0_原始6特征,99,6,1.648322628965807,0.9588961293186635,0.31089292827188564,0.4164432976814825,0.48910248124097144
M0_原始6特征,100,6,0.9857339629488484,0.7451718846058044,0.18592095555376562,0.3236240375537476,0.6408163827747346
M0_原始6特征,101,6,1.369704684302311,0.8915328412109729,0.2583423249110157,0.3871877933734535,0.4882434646554451
M0_原始6特征,102,6,1.3453064785486077,0.8792209718561639,0.25374053791977125,0.3818408164507462,0.5024248857730533
M0_原始6特征,103,6,1.174614659806202,0.8358578519614706,0.2215460643207673,0.36300845276237176,0.5318665956357187
M0_原始6特征,104,6,1.035255111404236,0.7777205435540449,0.19526122340190036,0.33775974052831925,0.6743210381668056
