model,MSE,MAE,R2,ΔMSE,ΔMAE,ΔR2,R2优于基准的次数(Total：240)
原始6特征,0.21479351364503105,0.3464411119889321,0.5867822782656279,0,0,0,0
原始6特征+rg,0.22635921121612584,0.3582996841332752,0.5646767336781227,0.011565697571094808,0.011858572144343054,-0.022105545,47
原始6特征+rg+asphericity,0.23327370517947693,0.3665208952727754,0.5514530202978489,0.018480191534445873,0.020079783283843293,-0.035329258,25
原始6特征+rg+asphericity+rg_mw_ratio,0.23350399100868086,0.36535218733239755,0.5513321923868024,0.01871047736364983,0.0189110753434655,-0.035450086,31
