,基准模型,加入空间特征,变化,相对变化_%
MSE_lg,0.21479351364503105,0.22712517648110223,0.012331662836071178,5.741170963128129
MAE_lg,0.3464411119889321,0.36095827243468204,0.01451716044574991,4.190368851550648
R2,0.5867822782656279,0.5633268586034962,-0.023455419662131716,-3.997295169080376
