model,seed,MSE_ln,MAE_ln,MSE_lg,MAE_lg,R2
原始6特征,0,0.953497126227169,0.7339986028388239,0.17984071107340335,0.3187715429375977,0.6665313404076074
原始6特征,1,1.0053496423640196,0.7584939354037831,0.18962070213629684,0.3294097307029445,0.6597526286711004
原始6特征,2,1.154590926252264,0.7858902718281351,0.21776935395465064,0.3413078084364056,0.5610923727296289
原始6特征,3,1.0114001874396514,0.7387498581206402,0.19076190571085702,0.3208349868886042,0.6035368328755484
原始6特征,4,1.1846772618813959,0.8072249218343934,0.2234439887745222,0.3505733292074608,0.6189012581311927
原始6特征,5,1.252775028708121,0.8472688756558008,0.236288024138412,0.36796419738568664,0.501366982396219
原始6特征,6,1.1202089193549902,0.7745957236613831,0.21128450528709083,0.33640264849199475,0.6725240962846135
原始6特征,7,1.2539685713067148,0.813555490946208,0.23651314023338843,0.3533226604400291,0.5561164792725999
原始6特征,8,0.8079955489665648,0.6836730377226448,0.15239741166841433,0.29691542770897833,0.6267108371249007
原始6特征,9,0.8810648376812762,0.7199876511439542,0.16617913421232763,0.3126866639303028,0.6869517560641694
原始6特征,10,1.4372525545322028,0.9021618859025969,0.2710826433445959,0.3918039288309289,0.45331912617078784
原始6特征,11,1.2804704825461046,0.9151372165006744,0.2415117106863009,0.39743904331054436,0.5249620082996675
原始6特征,12,1.011178875516227,0.7448799475121599,0.19072016369341105,0.3234972508849149,0.6267867371808304
原始6特征,13,1.2535021052702955,0.8213075808523855,0.2364251592826611,0.35668935030949983,0.5630137777588031
原始6特征,14,1.0407562748601484,0.7682696245330372,0.19629880717685824,0.33365525854858114,0.6244511716526013
原始6特征,15,0.8987487767186446,0.6797992714895748,0.1695145319640156,0.29523307240977287,0.6854812216160605
原始6特征,16,1.229910300615353,0.8416656377072506,0.2319754689711259,0.3655307420638404,0.5565095498289452
原始6特征,17,1.1230697105270306,0.785839402074195,0.2118240839648452,0.3412857159829737,0.6399766953147119
原始6特征,18,0.9921662486686269,0.7599707678161074,0.18713415987903662,0.3300511108703128,0.6270635907222006
原始6特征,19,1.2248381713621141,0.8151421554451297,0.23101880606521027,0.3540117400765425,0.5860627332809036
原始6特征,20,1.0042605668624303,0.7324806525870133,0.1894152897577683,0.3181123055194327,0.6454866369400372
原始6特征,21,1.3149674065437325,0.8442555314255318,0.24801823406317416,0.3666555186144058,0.5339543544337736
原始6特征,22,1.152418765770824,0.7922324040465136,0.2173596590800647,0.34406216146234825,0.564078584041501
原始6特征,23,1.0732913862709121,0.751032917278387,0.20243530975250432,0.3261694517017048,0.609959251184601
原始6特征,24,1.19264156093235,0.8147126092943764,0.22494614873403063,0.3538251905535476,0.5826199023218082
原始6特征,25,1.4682706752603096,0.8854064844643097,0.27693302373323525,0.38452715044420693,0.49329370508616077
原始6特征,26,1.0639820009484608,0.782591975364251,0.20067945078870178,0.33987537648245975,0.6687265738285483
