model_row,Old_index_1,smiles,canonical_smiles,doi,compoundId,Solvent,selected_point_index,wavelength,TPACS,values_ln,elements
150,157,Cc1nc(C)nc(/C=C/c2ccc(N3CCCCC3)cc2)n1,CAN:Cc1nc(C)nc(/C=C/c2ccc(N3CCCCC3)cc2)n1,10.1246/cl.2005.644,B1,THF,0,800.0,363.0,5.894402834,"C,H,N"
151,158,COc1ccc(-c2cnc(-c3ccnc(CN(Cc4cccc(F)n4)Cc4cccc(F)n4)c3)o2)cc1,CAN:COc1ccc(-c2cnc(-c3ccnc(CN(Cc4cccc(F)n4)Cc4cccc(F)n4)c3)o2)cc1,10.1021/ja073240o,2,MeOH,2,690.0,31.0,3.433987204,"C,F,H,N,O"
152,159,N#Cc1cc(/C=C/c2ccc(N3CCOCCOCCOCCOCC3)cc2)c(C#N)cc1/C=C/c1ccc(N2CCOCCOCCOCCOCC2)cc1,CAN:N#Cc1cc(/C=C/c2ccc(N3CCOCCOCCOCCOCC3)cc2)c(C#N)cc1/C=C/c1ccc(N2CCOCCOCCOCCOCC2)cc1,10.1021/ja049013t,CR2,ACN,0,810.0,2200.0,7.696212639,"C,H,N,O"
153,160,CN(C)c1ccc(/C=C/c2cc(C#N)c(/C=C/c3ccc(N4CCOCCOCCOCCOCC4)cc3)cc2C#N)cc1,CAN:CN(C)c1ccc(/C=C/c2cc(C#N)c(/C=C/c3ccc(N4CCOCCOCCOCCOCC4)cc3)cc2C#N)cc1,10.1021/ja049013t,CR1,ACN,0,810.0,1800.0,7.495541944,"C,H,N,O"
154,161,CCCC[NH+](CCC)CCCC.CCN(CC)c1ccc2c3c(c(=O)oc2c1)C(/C=C/C=C1\O[B-](F)(F)Oc2c1c(=O)oc1cc(N(CC)CC)ccc21)=[O+][B-](F)(F)O3,CAN:CCCC[NH+](CCC)CCCC.CCN(CC)c1ccc2c3c(c(=O)oc2c1)C(/C=C/C=C1\O[B-](F)(F)Oc2c1c(=O)oc1cc(N(CC)CC)ccc21)=[O+][B-](F)(F)O3,10.1021/jp100963e,G37,ACN,3,860.0,2900.0,7.972466016,"B,C,F,H,N,O"
155,162,CCCC[NH+](CCC)CCCC.CCN(CC)c1ccc2c3c(c(=O)oc2c1)C(/C=C/C=C/C=C1\O[B-](F)(F)Oc2c1c(=O)oc1cc(N(CC)CC)ccc21)=[O+][B-](F)(F)O3,CAN:CCCC[NH+](CCC)CCCC.CCN(CC)c1ccc2c3c(c(=O)oc2c1)C(/C=C/C=C/C=C1\O[B-](F)(F)Oc2c1c(=O)oc1cc(N(CC)CC)ccc21)=[O+][B-](F)(F)O3,10.1021/jp100963e,G38,ACN,1,940.0,8800.0,9.082507,"B,C,F,H,N,O"
156,163,CCCC[NH+](CCC)CCCC.CCN(CC)c1ccc2c3c(c(=O)oc2c1)C(/C=C/C=C/C=C/C=C1\O[B-](F)(F)Oc2c1c(=O)oc1cc(N(CC)CC)ccc21)=[O+][B-](F)(F)O3,CAN:CCCC[NH+](CCC)CCCC.CCN(CC)c1ccc2c3c(c(=O)oc2c1)C(/C=C/C=C/C=C/C=C1\O[B-](F)(F)Oc2c1c(=O)oc1cc(N(CC)CC)ccc21)=[O+][B-](F)(F)O3,10.1021/jp100963e,G74,ACN,1,960.0,15000.0,9.61580548,"B,C,F,H,N,O"
157,164,CCCC[NH+](CCC)CCCC.CCN(CC)c1ccc2c3c(c(=O)oc2c1)C(/C=C/C=C1/C=C(/C=C/C=C2\O[B-](F)(F)Oc4c2c(=O)oc2cc(N(CC)CC)ccc42)CC(C)(C)C1)=[O+][B-](F)(F)O3,CAN:CCCC[NH+](CCC)CCCC.CCN(CC)c1ccc2c3c(c(=O)oc2c1)C(/C=C/C=C1C=C(/C=C/C=C2\O[B-](F)(F)Oc4c2c(=O)oc2cc(N(CC)CC)ccc42)CC(C)(C)C/1)=[O+][B-](F)(F)O3,10.1021/jp100963e,G152,ACN,1,1100.0,17000.0,9.740968623,"B,C,F,H,N,O"
158,165,CCOc1ccc(N(c2ccc(/C=C/c3ccc(N)cc3)cc2)c2ccc(OCC)cc2)cc1,CAN:CCOc1ccc(N(c2ccc(/C=C/c3ccc(N)cc3)cc2)c2ccc(OCC)cc2)cc1,10.1039/c4tb00464g,2B,Ethyl acetate,0,690.0,527.0,6.267200549,"C,H,N,O"
159,166,CCOc1ccc(N(c2ccc(/C=C(\C#N)c3ccc(N)cc3)cc2)c2ccc(OCC)cc2)cc1,CAN:CCOc1ccc(N(c2ccc(/C=C(\C#N)c3ccc(N)cc3)cc2)c2ccc(OCC)cc2)cc1,10.1039/c4tb00464g,3B,Ethyl acetate,0,700.0,400.0,5.991464547,"C,H,N,O"
160,167,Clc1nc(Cl)nc(Nc2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)n1,CAN:Clc1nc(Cl)nc(Nc2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)n1,10.1016/j.dyepig.2012.03.017,5a,DMF,0,780.0,30.0,3.401197382,"C,Cl,H,N"
161,168,CCOc1ccc(N(c2ccc(/C=C/c3ccc(Nc4nc(Cl)nc(Cl)n4)cc3)cc2)c2ccc(OCC)cc2)cc1,CAN:CCOc1ccc(N(c2ccc(/C=C/c3ccc(Nc4nc(Cl)nc(Cl)n4)cc3)cc2)c2ccc(OCC)cc2)cc1,10.1016/j.dyepig.2012.03.017,5b,DMF,0,800.0,80.0,4.382026635,"C,Cl,H,N,O"
162,169,Clc1nc(Nc2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)nc(Nc2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)n1,CAN:Clc1nc(Nc2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)nc(Nc2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)n1,10.1016/j.dyepig.2012.03.017,6a,DMF,0,720.0,200.0,5.298317367,"C,Cl,H,N"
163,170,CCOc1ccc(N(c2ccc(/C=C/c3ccc(Nc4nc(Cl)nc(Nc5ccc(/C=C/c6ccc(N(c7ccc(OCC)cc7)c7ccc(OCC)cc7)cc6)cc5)n4)cc3)cc2)c2ccc(OCC)cc2)cc1,CAN:CCOc1ccc(N(c2ccc(/C=C/c3ccc(Nc4nc(Cl)nc(Nc5ccc(/C=C/c6ccc(N(c7ccc(OCC)cc7)c7ccc(OCC)cc7)cc6)cc5)n4)cc3)cc2)c2ccc(OCC)cc2)cc1,10.1016/j.dyepig.2012.03.017,6b,DMF,2,780.0,310.0,5.736572297,"C,Cl,H,N,O"
164,171,C(=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)\c1ccc(Nc2nc(Nc3ccc(/C=C/c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3)nc(Nc3ccc(/C=C/c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3)n2)cc1,CAN:C(=C\c1ccc(N(c2ccccc2)c2ccccc2)cc1)/c1ccc(Nc2nc(Nc3ccc(/C=C/c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3)nc(Nc3ccc(/C=C/c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3)n2)cc1,10.1016/j.dyepig.2012.03.017,7a,DMF,0,720.0,230.0,5.438079309,"C,H,N"
165,172,COC(=O)c1cc2ccc3cc(OC)ccc3c2oc1=O,CAN:COC(=O)c1cc2ccc3cc(OC)ccc3c2oc1=O,10.1016/j.tetlet.2007.01.176,1a,H2O,2,780.0,130.0,4.86753445,"C,H,O"
166,173,COC(=O)c1cc2ccc3cc(O)ccc3c2oc1=O,CAN:COC(=O)c1cc2ccc3cc(O)ccc3c2oc1=O,10.1016/j.tetlet.2007.01.176,2a,H2O,1,760.0,270.0,5.598421959,"C,H,O"
167,174,COC(=O)c1cc2ccc3cc(N(C)C)ccc3c2oc1=O,CAN:COC(=O)c1cc2ccc3cc(N(C)C)ccc3c2oc1=O,10.1016/j.tetlet.2007.01.176,3a,H2O,4,880.0,350.0,5.857933154,"C,H,N,O"
168,175,CN(C)c1ccc2c(ccc3cc(C#N)c(=O)oc32)c1,CAN:CN(C)c1ccc2c(ccc3cc(C#N)c(=O)oc32)c1,10.1016/j.tetlet.2007.01.176,3b,H2O,6,940.0,480.0,6.173786104,"C,H,N,O"
169,176,CN(C)/C=C/c1c(C#N)c(/C=C/N(C)C)c(C#N)c(/C=C/N(C)C)c1C#N,CAN:CN(C)/C=C/c1c(C#N)c(/C=C/N(C)C)c(C#N)c(/C=C/N(C)C)c1C#N,10.1021/ja010770q,1f,TCM,1,800.0,195.0,5.272999559,"C,H,N"
